arm	knob	O	h	c	K	pattern	ceff_gib	floor_gib	ublk_gib	upage_gib	x_ublk_over_ceff	mig_gib	htod_gib	dtoh_gib	time_s	amblkhtod	csv
C	0.100	1.5	0.90	0.100	1	rand	15.6080	14.8003	24.0000	15.8836	1.53767	1780.9695	891.7525	889.2170	348.8811	37.1564	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.10000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,693.6680,348.8811,348.8811,348.8811,0.03,0.00,15.8836,24.0000,24.0000,943485,4916,9.6016,6.0010,891.7525,889.2170,1780.9695,112.126,56.1431,74.2872,37.1965,74.2071,37.1564,84318.0,0.0,0.0,0.0,0.0,per_iter
C	0.200	1.5	0.90	0.200	1	rand	15.6080	14.8003	24.0000	17.5141	1.53767	2010.5942	1006.1586	1004.4356	403.7640	41.9233	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.20000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,808.1563,403.7640,403.7640,403.7640,0.02,0.00,17.5141,24.0000,24.0000,1887238,4916,9.6016,6.0010,1006.1586,1004.4356,2010.5942,114.798,57.4484,83.7752,41.9235,83.7748,41.9233,76971.0,0.0,0.0,0.0,0.0,per_iter
O	1.05	1.05	0.90	0.02	1	rand	15.6150	14.8003	16.8008	13.7787	1.07594	1466.6207	737.1145	729.5062	177.2211	43.8738	Tesla P100-PCIE-16GB,plain,1.050,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,16.80,16.00,14.400,4404019,3774873,819,2,1,9437184,9,354.3907,177.2211,177.2211,177.2211,0.05,0.00,13.7787,16.8008,16.8008,189058,1230,2.4023,1.5015,737.1145,729.5062,1466.6207,106.440,53.4965,87.3938,43.9236,87.2948,43.8738,64329.0,0.0,0.0,0.0,0.0,per_iter
O	1.10	1.10	0.90	0.02	1	rand	15.6143	14.8003	17.6016	13.8017	1.12727	1527.2160	767.1996	760.0165	213.7049	43.5870	Tesla P100-PCIE-16GB,plain,1.100,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,17.60,16.00,14.400,4613734,3774873,819,2,1,9437184,9,426.9350,213.7049,213.7049,213.7049,0.04,0.00,13.8017,17.6016,17.6016,189058,1640,3.2031,2.0020,767.1996,760.0165,1527.2160,110.654,55.5873,87.2129,43.8116,86.7659,43.5870,69138.0,0.0,0.0,0.0,0.0,per_iter
O	1.25	1.25	0.90	0.02	1	rand	15.6119	14.8003	20.0000	13.8322	1.28107	1575.4780	791.1002	784.3778	217.5913	39.5550	Tesla P100-PCIE-16GB,plain,1.250,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,20.00,16.00,14.400,5242880,3774873,819,2,1,9437184,9,435.5272,217.5913,217.5913,217.5913,0.04,0.00,13.8322,20.0000,20.0000,189058,2868,5.6016,3.5010,791.1002,784.3778,1575.4780,113.899,57.1925,81.6571,41.0028,78.7739,39.5550,68077.0,0.0,0.0,0.0,0.0,per_iter
O	1.50	1.50	0.90	0.02	1	rand	15.6080	14.8003	24.0000	13.8503	1.53767	1594.3223	800.3162	794.0060	195.5351	33.3465	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,391.2836,195.5351,195.5351,195.5351,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,800.3162,794.0060,1594.3223,115.111,57.7835,75.5232,37.9111,66.4301,33.3465,67071.0,0.0,0.0,0.0,0.0,per_iter
O	2.00	2.00	0.90	0.02	1	rand	15.6002	14.8003	32.0000	13.8622	2.05126	1604.2564	805.1959	799.0605	197.4678	25.1624	Tesla P100-PCIE-16GB,plain,2.000,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,32.00,16.00,14.400,8388608,3774873,819,2,1,9437184,9,395.2394,197.4678,197.4678,197.4678,0.05,0.00,13.8622,32.0000,32.0000,189058,9012,17.6016,11.0010,805.1959,799.0605,1604.2564,115.729,58.0858,70.1238,35.1960,50.1330,25.1624,76948.0,0.0,0.0,0.0,0.0,per_iter
O	3.00	3.00	0.90	0.02	1	rand	15.5846	14.8003	48.0000	13.8691	3.07996	1608.7701	807.3613	801.4088	199.3852	16.8200	Tesla P100-PCIE-16GB,plain,3.000,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,48.00,16.00,14.400,12582912,3774873,819,2,1,9437184,9,398.8710,199.3852,199.3852,199.3852,0.05,0.00,13.8691,48.0000,48.0000,189058,17203,33.5996,20.9997,807.3613,801.4088,1608.7701,115.997,58.2131,66.5570,33.4016,33.5160,16.8200,116353.0,0.0,0.0,0.0,0.0,per_iter
K	1	1.5	0.99	0.02	1	rand	15.6480	166.9250	24.0000	14.8216	1.53374	1489.6791	746.9031	742.7759	216.3371	31.1210	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,432.5119,216.3371,216.3371,216.3371,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,746.9031,742.7759,1489.6791,100.507,50.3929,67.6693,33.9284,62.0700,31.1210,72804.0,0.0,0.0,0.0,0.0,per_iter
K	2	1.5	0.99	0.02	2	rand	15.6480	166.9250	24.0000	11.6330	1.53374	1096.5698	550.0092	546.5605	194.2723	22.9171	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,2,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,398.9829,194.2723,194.2723,194.2723,0.05,0.00,11.6330,24.0000,24.0000,189404,4178,8.1602,50.9998,550.0092,546.5605,1096.5698,94.2640,47.2802,54.0524,27.1112,45.6904,22.9171,76240.0,0.0,0.0,0.0,0.0,per_iter
